[2025-11-28 14:06:35] [32minfo[39m: 	z2m: Zigbee2MQTT started!
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/1221051039810110150109113116116_0x00124b0031fe82ee/restart/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"availability_mode":"all","command_topic":"zigbee2mqtt/bridge/request/restart","default_entity_id":"button.zigbee2mqtt_bridge_restart","device":{"hw_version":"ZStack3x0 20250321","identifiers":["zigbee2mqtt_bridge_0x00124b0031fe82ee"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"2.6.3"},"device_class":"restart","name":"Restart","object_id":"zigbee2mqtt_bridge_restart","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"","unique_id":"bridge_0x00124b0031fe82ee_restart_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0xe406bffffe347cf8/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklampe 1.2/set/identify","default_entity_id":"button.taklampe_1.2_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xe406bffffe347cf8"],"manufacturer":"IKEA","model":"TRADFRI bulb E26/27, white spectrum, globe, opal, 1055/1100/1160 lm","model_id":"LED2201G8","name":"Taklampe 1.2","sw_version":"3.0.23","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklampe_1.2_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0xe406bffffe347cf8_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x90fd9ffffe9b66a6/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Gulvlampe 2 kontor/set/identify","default_entity_id":"button.gulvlampe_2_kontor_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffe9b66a6"],"manufacturer":"IKEA","model":"TRADFRI bulb E26/E27, white spectrum, globe, opal, 980 lm","model_id":"LED1545G12","name":"Gulvlampe 2 kontor","sw_version":"2.3.095","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"gulvlampe_2_kontor_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x90fd9ffffe9b66a6_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x90fd9ffffed10535/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Gulvlampe 1 kontor/set/identify","default_entity_id":"button.gulvlampe_1_kontor_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffed10535"],"manufacturer":"IKEA","model":"TRADFRI bulb E26/E27, white spectrum, globe, opal, 980 lm","model_id":"LED1545G12","name":"Gulvlampe 1 kontor","sw_version":"2.3.095","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"gulvlampe_1_kontor_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x90fd9ffffed10535_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0xec1bbdfffe547fa0/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Fjernkontroll kontor 1/set/identify","default_entity_id":"button.fjernkontroll_kontor_1_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xec1bbdfffe547fa0"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll kontor 1","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"fjernkontroll_kontor_1_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0xec1bbdfffe547fa0_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0xc02cedfffe110abe/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklys Kontor/set/identify","default_entity_id":"button.taklys_kontor_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xc02cedfffe110abe"],"manufacturer":"IKEA","model":"JETSTROM ceiling light panel, white spectrum, 100x40 cm","model_id":"L2208","name":"Taklys Kontor","sw_version":"2.4.8","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklys_kontor_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0xc02cedfffe110abe_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x880f62fffe35c93e/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Beveg Vallhorn/set/identify","default_entity_id":"button.beveg_vallhorn_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x880f62fffe35c93e"],"manufacturer":"IKEA","model":"VALLHORN wireless motion sensor","model_id":"E2134","name":"Beveg Vallhorn","sw_version":"1.0.64","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"beveg_vallhorn_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x880f62fffe35c93e_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0xc4d8c8fffe82c44c/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Knapp enkel Rodret/set/identify","default_entity_id":"button.knapp_enkel_rodret_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xc4d8c8fffe82c44c"],"manufacturer":"IKEA","model":"RODRET wireless dimmer/power switch","model_id":"E2201","name":"Knapp enkel Rodret","sw_version":"1.0.57","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"knapp_enkel_rodret_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0xc4d8c8fffe82c44c_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x781c9dfffe2965be/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Knapp STYRBAR/set/identify","default_entity_id":"button.knapp_styrbar_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x781c9dfffe2965be"],"manufacturer":"IKEA","model":"STYRBAR remote control","model_id":"E2001/E2002","name":"Knapp STYRBAR","sw_version":"2.4.16","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"knapp_styrbar_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x781c9dfffe2965be_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x08ddebfffee76528/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklys spis kjøkken/set/identify","default_entity_id":"button.taklys_spis_kjøkken_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x08ddebfffee76528"],"manufacturer":"IKEA","model":"NYMANE pendant lamp","model_id":"90504044","name":"Taklys spis kjøkken","sw_version":"2.3.087","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklys_spis_kjøkken_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x08ddebfffee76528_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x90fd9ffffeea7bbc/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklampe sov 1/set/identify","default_entity_id":"button.taklampe_sov_1_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffeea7bbc"],"manufacturer":"IKEA","model":"TRADFRI bulb E12/E14/E26/E27, color/white spectrum, globe, opal, 600 lm","model_id":"LED1624G9","name":"Taklampe sov 1","sw_version":"2.3.093","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklampe_sov_1_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x90fd9ffffeea7bbc_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x680ae2fffe1a7054/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklampe sov 2/set/identify","default_entity_id":"button.taklampe_sov_2_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x680ae2fffe1a7054"],"manufacturer":"IKEA","model":"TRADFRI bulb E26/E27, color/white spectrum, globe, opal, 800/806/810 lm","model_id":"LED1924G9","name":"Taklampe sov 2","sw_version":"1.0.021","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklampe_sov_2_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x680ae2fffe1a7054_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x90fd9ffffeebd13e/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklampe sov 3/set/identify","default_entity_id":"button.taklampe_sov_3_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffeebd13e"],"manufacturer":"IKEA","model":"TRADFRI bulb E12/E14/E26/E27, color/white spectrum, globe, opal, 600 lm","model_id":"LED1624G9","name":"Taklampe sov 3","sw_version":"2.3.093","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklampe_sov_3_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x90fd9ffffeebd13e_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x000d6ffffe375ca5/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklampe 1.3/set/identify","default_entity_id":"button.taklampe_1.3_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x000d6ffffe375ca5"],"manufacturer":"IKEA","model":"TRADFRI bulb E26/E27, white spectrum, globe, opal, 980 lm","model_id":"LED1545G12","name":"Taklampe 1.3","sw_version":"2.3.095","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklampe_1.3_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x000d6ffffe375ca5_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x000b57fffebeeb01/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklampe 2.2/set/identify","default_entity_id":"button.taklampe_2.2_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x000b57fffebeeb01"],"manufacturer":"IKEA","model":"TRADFRI bulb E26/E27, white spectrum, globe, clear, 950 lm","model_id":"LED1546G12","name":"Taklampe 2.2","sw_version":"2.3.095","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklampe_2.2_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x000b57fffebeeb01_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x781c9dfffe016cee/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklys kjellerstue kontor/set/identify","default_entity_id":"button.taklys_kjellerstue_kontor_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x781c9dfffe016cee"],"manufacturer":"IKEA","model":"JETSTROM ceiling light panel, white spectrum, 60x60 cm","model_id":"L2207","name":"Taklys kjellerstue kontor","sw_version":"2.4.8","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklys_kjellerstue_kontor_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x781c9dfffe016cee_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0x54dce9fffead8813/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0x54dce9fffead8813/set/identify","default_entity_id":"button.0x54dce9fffead8813_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54dce9fffead8813"],"manufacturer":"IKEA","model":"INSPELNING smart plug","model_id":"E2206","name":"0x54dce9fffead8813","sw_version":"2.4.45","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"0x54dce9fffead8813_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x54dce9fffead8813_identify_zigbee2mqtt"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/button/0xccccccfffebe8ad3/identify/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/Taklys Mia/set/identify","default_entity_id":"button.taklys_mia_identify","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xccccccfffebe8ad3"],"manufacturer":"IKEA","model":"TRADFRI bulb E12/E14/E26/E27, color/white spectrum, globe, opal, 600 lm","model_id":"LED1624G9","name":"Taklys Mia","sw_version":"2.3.093","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"identify","entity_category":"config","object_id":"taklys_mia_identify","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0xccccccfffebe8ad3_identify_zigbee2mqtt"}'
